"Management","X","Intercept","Depth_m.rescale","Habitat","Complexity.rescale","no_genera.rescale","Rao.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Competitive.rescale","Generalist.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"BiomFished",3,2.54345070900265,NA,NA,0.373686951688515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,15.8740901490734,-21.0740229947761,0,0.435520843707983
"BiomFished",515,2.54153424480344,NA,NA,0.425951938961465,-0.0717950064671427,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15.0211646502653,-17.0877838459852,3.98623914879087,0.0593482765753835
"BiomReserve",259,3.16486444854934,NA,"+",0.408836240217829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-30.4733279103641,77.0207298948023,0,0.132686681324329
"BiomReserve",3,2.85256510260312,NA,NA,0.486574784365218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-33.3176877622796,77.7068040959878,0.686074201185519,0.0941560459229387
"BiomReserve",323,3.00004948143052,-0.249066847397886,"+",0.425122006754718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-30.4293171097598,79.575615351595,2.55488545679273,0.0369863098859894
"BiomReserve",257,2.9299030213785,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-33.1646844353502,79.8566415979731,2.83591170317081,0.0321378581845177
"BiomReserve",1283,3.08044618096615,NA,"+",0.42558146151015,NA,-0.159986316192191,NA,NA,NA,NA,NA,NA,NA,NA,8,-30.8332746795897,80.3835304912548,3.36280059645256,0.0246947401426073
"BiomReserve",7,2.85820561484644,NA,NA,0.391895232982869,NA,NA,-0.128857046876836,NA,NA,NA,NA,NA,NA,NA,6,-33.6590263762849,80.8453254798426,3.82459558504027,0.019603199191462
"BiomReserve",2051,2.86171430631636,NA,NA,0.393061568399169,NA,NA,NA,NA,NA,NA,NA,NA,0.156099315429626,NA,6,-33.6851267465294,80.8975262203315,3.87679632552923,0.0190981678568519
"BiomReserve",2307,3.19330012026026,NA,"+",0.354136426906132,NA,NA,NA,NA,NA,NA,NA,NA,0.127629656218992,NA,8,-31.1207354341469,80.9584520003692,3.93772210556693,0.0185251546015064
